experiment	run	tool	lock	version	sensitivity	paired	threads	seconds
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	pe	1	93.549
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	pe	4	89.959
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	pe	8	94.159
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	pe	12	98.767
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	pe	16	101.565
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	pe	20	101.651
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	pe	24	102.652
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	pe	28	108.998
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	pe	32	108.259
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	pe	36	105.887
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	pe	40	112.372
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	pe	44	113.48
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	pe	48	112.534
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	pe	52	116.313
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	pe	56	116.87
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	pe	60	123.471
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	pe	64	135.751
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	pe	68	135.284
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	pe	72	136.906
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	pe	76	141.304
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	pe	80	140.746
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	pe	84	143.573
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	pe	88	142.833
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	pe	92	148.115
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	pe	96	148.987
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	pe	100	150.271
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	pe	104	153.971
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	pe	108	154.142
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	pe	112	158.136
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	pe	116	156.135
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	pe	120	158.411
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	unp	1	27.945
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	unp	4	27.013
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	unp	8	27.586
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	unp	12	29.49
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	unp	16	29.491
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	unp	20	30.262
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	unp	24	30.148
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	unp	28	30.704
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	unp	32	31.407
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	unp	36	31.115
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	unp	40	31.436
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	unp	44	31.658
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	unp	48	34.115
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	unp	52	32.046
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	unp	56	34.687
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	unp	60	33.872
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	unp	64	37.892
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	unp	68	38.615
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	unp	72	39.205
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	unp	76	40.665
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	unp	80	40.94
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	unp	84	40.365
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	unp	88	42.179
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	unp	92	41.296
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	unp	96	41.873
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	unp	100	43.429
pub_rerun2	bt-mp-id	bowtie	MP tinythreads fast_mutex	Original parsing	sensitive	unp	104	42.829
