experiment	run	tool	lock	version	sensitivity	paired	threads	seconds
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	12	71.292
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	15	71.799
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	20	72.054
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	27	75.431
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	29	74.94
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	43	75.605
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	44	76.097
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	38	75.363
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	36	75.46
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	31	74.971
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	7	70.167
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	9	70.451
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	28	75.258
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	26	75.181
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	21	72.361
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	14	71.011
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	13	71.201
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	8	70.155
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	1	60.677
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	6	70.197
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	30	74.863
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	37	75.347
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	45	75.92
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	39	75.522
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	42	75.525
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	5	69.267
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	2	68.824
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	48	76.886
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	34	75.224
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	33	74.967
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	41	75.504
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	46	76.205
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	22	73.513
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	25	75.29
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	10	70.87
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	17	71.693
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	19	71.878
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	47	76.761
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	40	75.241
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	32	74.944
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	35	75.435
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	3	69.293
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	4	69.87
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	18	71.959
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	16	71.857
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	11	71.071
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	24	75.201
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	pe	23	74.047
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	21	16.53
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	26	19.357
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	28	19.882
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	13	14.729
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	14	14.93
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	42	27.394
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	3	16.961
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	39	25.909
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	45	28.363
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	4	14.801
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	37	25.029
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	30	20.312
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	15	14.93
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	12	14.568
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	29	20.265
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	27	19.509
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	20	16.04
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	31	21.156
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	36	24.249
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	38	25.442
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	44	28.267
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	5	14.913
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	43	27.82
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	2	17.069
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	35	23.835
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	8	14.428
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	32	22.455
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	40	25.834
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	1	16.162
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	47	29.958
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	6	14.742
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	11	14.668
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	16	15.193
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	18	15.71
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	23	16.953
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	24	17.568
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	46	28.833
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	7	14.526
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	41	27.139
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	33	22.341
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	34	23.528
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	48	30.596
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	9	14.45
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	25	18.96
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	22	16.497
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	19	15.837
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	17	15.292
results_48	bt-cleanparse-no-io	bowtie	None (stubbed I/O)	Optimized parsing	sensitive	unp	10	14.587
results_48	bt-no-io	bowtie	None (stubbed I/O)	Original parsing	sensitive	pe	4	68.357
results_48	bt-no-io	bowtie	None (stubbed I/O)	Original parsing	sensitive	pe	3	68.717
results_48	bt-no-io	bowtie	None (stubbed I/O)	Original parsing	sensitive	pe	34	74.204
