experiment	run	tool	lock	version	sensitivity	paired	threads	seconds
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	unp	19	26.131
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	unp	10	25.072
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	unp	7	24.715
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	unp	22	26.376
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	unp	25	26.55
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	unp	46	36.108
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	unp	48	40.399
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	unp	34	30.076
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	unp	16	25.841
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	unp	1	20.569
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	unp	40	31.496
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	unp	31	29.448
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	unp	43	32.67
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	unp	37	30.702
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	unp	4	24.461
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	unp	13	25.329
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	unp	28	26.879
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	pe	4	23.478
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	pe	40	26.284
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	pe	16	24.736
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	pe	48	53.044
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	pe	34	25.695
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	pe	46	27.103
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	pe	10	24.338
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	pe	19	24.932
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	pe	25	25.456
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	pe	22	25.127
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	pe	13	24.582
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	pe	28	25.459
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	pe	37	26.121
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	pe	1	20.095
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	pe	7	24.001
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	pe	43	26.881
results_48	hisat-batch-tbbpin-q	hisat	batch TBB queuing_mutex	Optimized parsing	sensitive	pe	31	25.657
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	unp	31	56.686
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	unp	43	80.086
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	unp	4	25.385
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	unp	37	68.369
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	unp	13	28.473
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	unp	28	48.35
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	unp	19	33.818
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	unp	1	21.036
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	unp	10	27.318
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	unp	25	43.087
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	unp	22	38.472
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	unp	46	89.442
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	unp	48	96.986
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	unp	34	61.984
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	unp	7	26.329
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	unp	16	30.602
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	unp	40	74.027
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	pe	10	27.5
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	pe	19	40.888
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	pe	25	54.001
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	pe	22	47.246
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	pe	34	72.8
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	pe	48	127.63
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	pe	7	26.198
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	pe	46	102.903
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	pe	16	34.856
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	pe	40	86.983
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	pe	1	20.603
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	pe	43	95.32
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	pe	31	66.477
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	pe	37	79.332
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	pe	4	24.738
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	pe	13	30.262
results_48	hisat-tbbpin-q	hisat	TBB queuing_mutex	Original parsing	sensitive	pe	28	60.3
results_48	hisat-no-io	hisat	None (stubbed I/O)	Original parsing	sensitive	pe	40	25.717
results_48	hisat-no-io	hisat	None (stubbed I/O)	Original parsing	sensitive	pe	16	21.272
results_48	hisat-no-io	hisat	None (stubbed I/O)	Original parsing	sensitive	pe	4	20.837
results_48	hisat-no-io	hisat	None (stubbed I/O)	Original parsing	sensitive	pe	46	29.169
results_48	hisat-no-io	hisat	None (stubbed I/O)	Original parsing	sensitive	pe	48	30.038
results_48	hisat-no-io	hisat	None (stubbed I/O)	Original parsing	sensitive	pe	34	23.484
results_48	hisat-no-io	hisat	None (stubbed I/O)	Original parsing	sensitive	pe	25	21.613
results_48	hisat-no-io	hisat	None (stubbed I/O)	Original parsing	sensitive	pe	22	21.629
results_48	hisat-no-io	hisat	None (stubbed I/O)	Original parsing	sensitive	pe	19	21.142
results_48	hisat-no-io	hisat	None (stubbed I/O)	Original parsing	sensitive	pe	10	21.131
results_48	hisat-no-io	hisat	None (stubbed I/O)	Original parsing	sensitive	pe	28	22.22
results_48	hisat-no-io	hisat	None (stubbed I/O)	Original parsing	sensitive	pe	13	20.913
results_48	hisat-no-io	hisat	None (stubbed I/O)	Original parsing	sensitive	pe	1	18.934
results_48	hisat-no-io	hisat	None (stubbed I/O)	Original parsing	sensitive	pe	37	24.17
results_48	hisat-no-io	hisat	None (stubbed I/O)	Original parsing	sensitive	pe	7	20.384
results_48	hisat-no-io	hisat	None (stubbed I/O)	Original parsing	sensitive	pe	31	22.27
results_48	hisat-no-io	hisat	None (stubbed I/O)	Original parsing	sensitive	pe	43	27.044
results_48	hisat-no-io	hisat	None (stubbed I/O)	Original parsing	sensitive	unp	40	23.247
results_48	hisat-no-io	hisat	None (stubbed I/O)	Original parsing	sensitive	unp	1	18.436
results_48	hisat-no-io	hisat	None (stubbed I/O)	Original parsing	sensitive	unp	16	18.93
results_48	hisat-no-io	hisat	None (stubbed I/O)	Original parsing	sensitive	unp	7	18.66
results_48	hisat-no-io	hisat	None (stubbed I/O)	Original parsing	sensitive	unp	46	25.116
results_48	hisat-no-io	hisat	None (stubbed I/O)	Original parsing	sensitive	unp	48	25.627
results_48	hisat-no-io	hisat	None (stubbed I/O)	Original parsing	sensitive	unp	34	21.891
results_48	hisat-no-io	hisat	None (stubbed I/O)	Original parsing	sensitive	unp	22	19.83
results_48	hisat-no-io	hisat	None (stubbed I/O)	Original parsing	sensitive	unp	25	20.228
