experiment	run	tool	lock	version	sensitivity	paired	threads	seconds
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	5	24.831
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	23	30.612
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	2	22.909
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	24	30.806
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	18	28.167
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	11	26.212
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	16	27.609
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	40	56.645
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	47	42.447
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	35	47.833
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	32	41.4
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	17	27.784
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	10	26.619
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	19	28.285
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	3	24.194
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	25	31.736
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	4	16.807
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	22	29.881
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	33	43.857
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	34	46.32
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	48	213.636
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	46	29.014
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	41	58.386
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	37	50.986
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	30	37.754
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	42	59.1
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	39	54.173
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	45	28.866
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	13	26.903
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	14	27.154
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	28	35.158
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	9	25.821
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	7	25.245
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	21	29.34
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	26	32.52
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	38	52.654
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	44	65.192
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	43	62.474
results_48_hisat_full	hisat-cleanparse-tbbpin-co-tktptl	hisat	TBB/JHU CohortLock tktptl	Optimized parsing	sensitive	unp	31	39.994
