experiment	run	tool	lock	version	sensitivity	paired	threads	seconds
pub_reshuf3_lbm	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	1	26.536
pub_reshuf3_lbm	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	4	30.428
pub_reshuf3_lbm	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	8	31.892
pub_reshuf3_lbm	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	12	34.264
pub_reshuf3_lbm	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	16	34.938
pub_reshuf3_lbm	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	20	36.166
pub_reshuf3_lbm	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	24	39.743
pub_reshuf3_lbm	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	28	38.447
pub_reshuf3_lbm	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	32	38.899
pub_reshuf3_lbm	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	36	39.049
pub_reshuf3_lbm	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	40	39.431
pub_reshuf3_lbm	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	44	39.595
pub_reshuf3_lbm	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	48	39.802
pub_reshuf3_lbm	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	56	40.414
pub_reshuf3_lbm	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	60	45.76
pub_reshuf3_lbm	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	68	49.527
pub_reshuf3_lbm	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	76	50.845
pub_reshuf3_lbm	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	84	52.386
pub_reshuf3_lbm	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	92	53.544
pub_reshuf3_lbm	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	96	54.292
pub_reshuf3_lbm	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	100	54.392
pub_reshuf3_lbm	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	104	55.098
pub_reshuf3_lbm	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	108	55.67
