experiment	run	tool	lock	version	sensitivity	paired	threads	seconds
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	1	56.307
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	4	42.412
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	8	41.859
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	12	42.064
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	16	42.707
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	20	42.831
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	24	43.556
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	28	43.81
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	32	43.572
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	36	43.163
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	40	42.786
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	44	42.472
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	48	41.993
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	56	42.001
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	60	43.141
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	68	45.027
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	76	46.845
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	84	47.923
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	92	48.682
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	96	49.072
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	100	49.249
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	104	57.348
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	108	71.288
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	unp	1	30.405
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	unp	4	27.139
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	unp	8	27.704
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	unp	12	28.584
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	unp	16	29.019
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	unp	20	29.691
