experiment	run	tool	lock	version	sensitivity	paired	threads	seconds
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	1	55.762
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	4	49.923
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	8	50.173
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	12	50.301
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	16	50.036
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	20	49.935
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	24	50.073
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	28	50.297
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	32	49.435
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	36	48.62
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	40	48.194
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	44	47.649
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	48	46.715
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	56	46.139
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	60	46.792
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	68	48.435
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	76	49.312
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	84	49.908
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	92	50.09
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	96	50.254
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	100	50.079
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	104	116.774
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	108	158.12
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	unp	1	29.754
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	unp	4	27.319
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	unp	8	27.962
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	unp	12	29.111
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	unp	16	29.81
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	unp	20	30.254
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	unp	24	30.635
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	unp	28	31.499
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	unp	32	31.651
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	unp	36	32.534
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	unp	40	32.73
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	unp	44	33.294
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	unp	48	34.474
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	unp	56	38.466
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	unp	60	42.138
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	unp	68	48.602
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	unp	76	56.197
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	unp	84	63.71
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	unp	92	71.134
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	unp	96	75.218
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	unp	100	78.808
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	unp	104	83.196
pub_reshuf3_lbm	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	unp	108	180.54
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	1	56.307
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	4	42.412
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	8	41.859
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	12	42.064
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	16	42.707
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	20	42.831
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	24	43.556
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	28	43.81
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	32	43.572
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	36	43.163
pub_reshuf3_lbm	bt-batch32-tbb-q-tbbd-out32-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=32 & output=32	sensitive	pe	40	42.786
