experiment	run	tool	lock	version	sensitivity	paired	threads	seconds
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	1	23.481
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	4	29.247
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	8	29.879
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	12	31.609
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	16	31.894
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	20	32.385
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	24	33.39
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	28	34.021
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	32	34.02
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	36	34.14
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	40	34.136
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	44	34.387
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	48	34.542
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	56	35.763
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	60	36.777
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	68	39.6
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	76	41.937
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	84	44.209
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	92	46.183
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	96	47.25
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	100	48.242
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	104	49.419
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	108	50.462
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	unp	1	20.482
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	unp	4	28.037
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	unp	8	28.368
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	unp	12	29.503
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	unp	16	30.351
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	unp	20	31.304
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	unp	24	31.904
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	unp	28	32.559
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	unp	32	33.007
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	unp	36	34.179
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	unp	40	35.166
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	unp	44	36.024
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	unp	48	38.108
pub_reshuf3_lbm	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	unp	56	43.921
