experiment	run	tool	lock	version	sensitivity	paired	threads	seconds
showcase2016	bt-tbbpin-co-tktptl	bowtie	TBB/JHU CohortLock	Original parsing	sensitive	pe	90	77.062
showcase2016	bt-tbbpin-co-tktptl	bowtie	TBB/JHU CohortLock	Original parsing	sensitive	pe	75	76.609
showcase2016	bt-tbbpin-co-tktptl	bowtie	TBB/JHU CohortLock	Original parsing	sensitive	pe	60	81.127
showcase2016	bt-tbbpin-co-tktptl	bowtie	TBB/JHU CohortLock	Original parsing	sensitive	pe	15	60.334
showcase2016	bt-tbbpin-co-tktptl	bowtie	TBB/JHU CohortLock	Original parsing	sensitive	pe	105	84.476
showcase2016	bt-tbbpin-co-tktptl	bowtie	TBB/JHU CohortLock	Original parsing	sensitive	pe	1	61.712
showcase2016	bt-tbbpin-co-tktptl	bowtie	TBB/JHU CohortLock	Original parsing	sensitive	pe	120	95.059
showcase2016	bt-tbbpin-co-tktptl	bowtie	TBB/JHU CohortLock	Original parsing	sensitive	pe	30	55.912
showcase2016	bt-tbbpin-co-tktptl	bowtie	TBB/JHU CohortLock	Original parsing	sensitive	pe	45	70.188
showcase2016	bt-tbbpin-co-tktptl	bowtie	TBB/JHU CohortLock	Original parsing	sensitive	unp	90	64.359
showcase2016	bt-tbbpin-co-tktptl	bowtie	TBB/JHU CohortLock	Original parsing	sensitive	unp	75	53.121
showcase2016	bt-tbbpin-co-tktptl	bowtie	TBB/JHU CohortLock	Original parsing	sensitive	unp	1	21.888
showcase2016	bt-tbbpin-co-tktptl	bowtie	TBB/JHU CohortLock	Original parsing	sensitive	unp	105	75.517
showcase2016	bt-tbbpin-co-tktptl	bowtie	TBB/JHU CohortLock	Original parsing	sensitive	unp	15	21.806
showcase2016	bt-tbbpin-co-tktptl	bowtie	TBB/JHU CohortLock	Original parsing	sensitive	unp	60	35.693
showcase2016	bt-tbbpin-co-tktptl	bowtie	TBB/JHU CohortLock	Original parsing	sensitive	unp	45	29.1
showcase2016	bt-tbbpin-co-tktptl	bowtie	TBB/JHU CohortLock	Original parsing	sensitive	unp	30	23.348
showcase2016	bt-tbbpin-co-tktptl	bowtie	TBB/JHU CohortLock	Original parsing	sensitive	unp	120	86.396
showcase2016	bt-tt	bowtie	tinythreads fast_mutex	Original parsing	sensitive	pe	1	50.006
showcase2016	bt-tt	bowtie	tinythreads fast_mutex	Original parsing	sensitive	pe	105	526.367
showcase2016	bt-tt	bowtie	tinythreads fast_mutex	Original parsing	sensitive	pe	30	57.654
showcase2016	bt-tt	bowtie	tinythreads fast_mutex	Original parsing	sensitive	pe	45	110.299
showcase2016	bt-tt	bowtie	tinythreads fast_mutex	Original parsing	sensitive	pe	60	1080.299
showcase2016	bt-tt	bowtie	tinythreads fast_mutex	Original parsing	sensitive	pe	15	55.156
showcase2016	bt-tt	bowtie	tinythreads fast_mutex	Original parsing	sensitive	pe	120	662.384
showcase2016	bt-tt	bowtie	tinythreads fast_mutex	Original parsing	sensitive	pe	75	297.534
showcase2016	bt-tt	bowtie	tinythreads fast_mutex	Original parsing	sensitive	pe	90	402.596
showcase2016	bt-tt	bowtie	tinythreads fast_mutex	Original parsing	sensitive	unp	105	754.552
showcase2016	bt-tt	bowtie	tinythreads fast_mutex	Original parsing	sensitive	unp	60	377.204
showcase2016	bt-tt	bowtie	tinythreads fast_mutex	Original parsing	sensitive	unp	15	30.912
showcase2016	bt-tt	bowtie	tinythreads fast_mutex	Original parsing	sensitive	unp	1	14.679
showcase2016	bt-tt	bowtie	tinythreads fast_mutex	Original parsing	sensitive	unp	30	108.622
showcase2016	bt-tt	bowtie	tinythreads fast_mutex	Original parsing	sensitive	unp	45	205.08
showcase2016	bt-tt	bowtie	tinythreads fast_mutex	Original parsing	sensitive	unp	120	996.756
showcase2016	bt-tt	bowtie	tinythreads fast_mutex	Original parsing	sensitive	unp	90	592.463
showcase2016	bt-tt	bowtie	tinythreads fast_mutex	Original parsing	sensitive	unp	75	456.697
showcase2016	bt2-tbbpin-q	bowtie2	TBB queuing_mutex	Original parsing	sensitive	pe	90	136.947
showcase2016	bt2-tbbpin-q	bowtie2	TBB queuing_mutex	Original parsing	sensitive	pe	105	181.682
showcase2016	bt2-tbbpin-q	bowtie2	TBB queuing_mutex	Original parsing	sensitive	pe	120	242.435
showcase2016	bt2-tbbpin-q	bowtie2	TBB queuing_mutex	Original parsing	sensitive	pe	75	126.538
showcase2016	bt2-tbbpin-q	bowtie2	TBB queuing_mutex	Original parsing	sensitive	pe	60	149.7
showcase2016	bt2-tbbpin-q	bowtie2	TBB queuing_mutex	Original parsing	sensitive	pe	15	71.093
showcase2016	bt2-tbbpin-q	bowtie2	TBB queuing_mutex	Original parsing	sensitive	pe	30	77.848
showcase2016	bt2-tbbpin-q	bowtie2	TBB queuing_mutex	Original parsing	sensitive	pe	1	69.588
showcase2016	bt2-tbbpin-q	bowtie2	TBB queuing_mutex	Original parsing	sensitive	pe	45	111.161
showcase2016	bt2-tbbpin-q	bowtie2	TBB queuing_mutex	Original parsing	sensitive	unp	90	113.106
showcase2016	bt2-tbbpin-q	bowtie2	TBB queuing_mutex	Original parsing	sensitive	unp	120	163.947
showcase2016	bt2-tbbpin-q	bowtie2	TBB queuing_mutex	Original parsing	sensitive	unp	105	134.388
showcase2016	bt2-tbbpin-q	bowtie2	TBB queuing_mutex	Original parsing	sensitive	unp	75	115.407
showcase2016	bt2-tbbpin-q	bowtie2	TBB queuing_mutex	Original parsing	sensitive	unp	60	129.52
showcase2016	bt2-tbbpin-q	bowtie2	TBB queuing_mutex	Original parsing	sensitive	unp	15	79.51
showcase2016	bt2-tbbpin-q	bowtie2	TBB queuing_mutex	Original parsing	sensitive	unp	30	81.724
showcase2016	bt2-tbbpin-q	bowtie2	TBB queuing_mutex	Original parsing	sensitive	unp	45	107.233
showcase2016	bt2-tbbpin-q	bowtie2	TBB queuing_mutex	Original parsing	sensitive	unp	1	78.872
showcase2016	bt2-cleanparse-tbbpin-co-tktptl	bowtie2	TBB/JHU CohortLock	Optimized parsing	sensitive	unp	1	76.835
showcase2016	bt2-cleanparse-tbbpin-co-tktptl	bowtie2	TBB/JHU CohortLock	Optimized parsing	sensitive	unp	75	109.818
showcase2016	bt2-cleanparse-tbbpin-co-tktptl	bowtie2	TBB/JHU CohortLock	Optimized parsing	sensitive	unp	105	116.041
showcase2016	bt2-cleanparse-tbbpin-co-tktptl	bowtie2	TBB/JHU CohortLock	Optimized parsing	sensitive	unp	120	128.98
showcase2016	bt2-cleanparse-tbbpin-co-tktptl	bowtie2	TBB/JHU CohortLock	Optimized parsing	sensitive	unp	90	105.055
