experiment	run	tool	lock	version	sensitivity	paired	threads	seconds
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	1	4.83
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	4	4.913
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	8	4.903
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	12	5.061
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	16	5.059
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	17	5.105
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	34	5.095
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	51	5.435
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	68	6.387
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	85	7.181
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	100	7.842
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	102	7.777
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	119	9.673
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	136	10.604
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	150	11.777
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	153	11.624
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	170	12.915
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	200	14.755
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	204	14.819
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	221	16.883
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	238	18.048
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	255	20.1
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	pe	272	19.606
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	unp	1	4.75
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	unp	4	4.917
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	unp	8	5.07
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	unp	12	5.043
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	unp	16	5.111
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	unp	17	5.102
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	unp	34	5.18
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	unp	51	5.242
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	unp	68	5.433
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	unp	85	6.792
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	unp	100	7.0
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	unp	102	7.09
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	unp	119	8.034
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	unp	136	7.046
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	unp	150	8.355
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	unp	153	8.713
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	unp	170	8.439
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	unp	200	9.306
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	unp	204	9.732
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	unp	221	10.066
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	unp	238	10.544
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	unp	255	10.545
pub_final	bt-mp-id	bowtie	tinythreads fast_mutex MP	Original parsing	sensitive	unp	272	11.041
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	pe	1	3.581
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	pe	4	3.711
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	pe	8	3.846
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	pe	12	4.087
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	pe	16	4.271
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	pe	17	4.269
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	pe	34	7.969
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	pe	51	14.13
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	pe	68	19.097
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	pe	85	23.972
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	pe	100	28.382
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	pe	102	29.117
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	pe	119	34.363
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	pe	136	39.542
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	pe	150	43.708
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	pe	153	44.803
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	pe	170	49.477
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	pe	200	58.554
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	pe	204	59.667
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	pe	221	64.983
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	pe	238	69.561
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	pe	255	74.548
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	pe	272	79.553
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	unp	1	3.645
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	unp	2	3.898
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	unp	4	4.109
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	unp	8	5.104
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	unp	12	7.289
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	unp	16	9.68
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	unp	17	10.684
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	unp	34	27.552
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	unp	51	41.265
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	unp	68	57.241
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	unp	85	73.15
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	unp	100	89.514
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	unp	102	85.33
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	unp	119	102.722
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	unp	136	123.558
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	unp	150	145.674
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	unp	153	148.421
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	unp	170	166.49
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	unp	200	201.061
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	unp	204	210.559
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	unp	221	228.539
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	unp	238	246.797
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	unp	255	270.472
pub_final	bt-tbb-heavy-id	bowtie	TBB mutex	Original parsing	sensitive	unp	272	286.123
pub_final	bt-tbb-q-id	bowtie	TBB queuing_mutex	Original parsing	sensitive	pe	1	3.601
pub_final	bt-tbb-q-id	bowtie	TBB queuing_mutex	Original parsing	sensitive	pe	4	3.701
pub_final	bt-tbb-q-id	bowtie	TBB queuing_mutex	Original parsing	sensitive	pe	8	3.871
pub_final	bt-tbb-q-id	bowtie	TBB queuing_mutex	Original parsing	sensitive	pe	12	3.924
pub_final	bt-tbb-q-id	bowtie	TBB queuing_mutex	Original parsing	sensitive	pe	16	4.1
pub_final	bt-tbb-q-id	bowtie	TBB queuing_mutex	Original parsing	sensitive	pe	17	4.01
pub_final	bt-tbb-q-id	bowtie	TBB queuing_mutex	Original parsing	sensitive	pe	34	5.098
pub_final	bt-tbb-q-id	bowtie	TBB queuing_mutex	Original parsing	sensitive	pe	51	7.391
pub_final	bt-tbb-q-id	bowtie	TBB queuing_mutex	Original parsing	sensitive	pe	68	9.712
pub_final	bt-tbb-q-id	bowtie	TBB queuing_mutex	Original parsing	sensitive	pe	85	13.887
pub_final	bt-tbb-q-id	bowtie	TBB queuing_mutex	Original parsing	sensitive	pe	100	17.598
pub_final	bt-tbb-q-id	bowtie	TBB queuing_mutex	Original parsing	sensitive	pe	102	17.874
pub_final	bt-tbb-q-id	bowtie	TBB queuing_mutex	Original parsing	sensitive	pe	119	22.604
pub_final	bt-tbb-q-id	bowtie	TBB queuing_mutex	Original parsing	sensitive	pe	136	27.095
