experiment	run	tool	lock	version	sensitivity	paired	threads	seconds
pub_final	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	1	17.302
pub_final	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	4	9.277
pub_final	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	8	9.297
pub_final	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	12	9.222
pub_final	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	16	9.213
pub_final	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	17	9.184
pub_final	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	34	8.94
pub_final	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	51	8.757
pub_final	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	68	8.705
pub_final	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	85	9.438
pub_final	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	100	9.889
pub_final	bt-batch1-tbb-q-tbbd-out1-s-id	bowtie	TBB queuing_mutex Stack	Batch parsing input=1 & output=1	sensitive	pe	102	10.02
