nproc,out,block,tnobuf,tbuf,tdd
1,devnull,536870912,24.515,22.465,4.653
1,devnull,1073741824,24.496,22.46,4.774
1,devnull,1610612736,24.911,22.578,4.564
1,devnull,2147483648,24.465,23.104,4.989
1,ssd,536870912,113.614,60.447,43.145
1,ssd,1073741824,123.072,60.848,43.439
1,ssd,1610612736,122.116,58.667,40.138
1,ssd,2147483648,120.956,61.429,43.06
1,lustre_1_ost,536870912,202.201,87.504,68.204
1,lustre_1_ost,1073741824,212.432,95.497,72.516
1,lustre_1_ost,1610612736,215.087,86.061,71.786
1,lustre_1_ost,2147483648,209.119,93.42,65.425
1,lustre_16_ost,536870912,212.307,92.714,81.022
1,lustre_16_ost,1073741824,224.546,93.021,82.61
1,lustre_16_ost,1610612736,229.21,92.103,77.11
1,lustre_16_ost,2147483648,229.108,98.479,85.158
2,devnull,536870912,12.773,11.721,2.36
2,devnull,536870912,12.802,11.745,2.358
2,devnull,1073741824,12.784,11.853,2.477
2,devnull,1073741824,12.794,11.825,2.465
2,devnull,1610612736,12.804,11.956,2.421
2,devnull,1610612736,12.809,11.993,2.411
2,devnull,2147483648,12.791,12.072,2.642
2,devnull,2147483648,12.788,12.091,2.648
2,ssd,536870912,59.232,30.953,23.024
2,ssd,536870912,65.773,32.374,23.535
2,ssd,1073741824,64.166,31.84,22.621
2,ssd,1073741824,65.12,32.593,24.172
2,ssd,1610612736,66.795,31.674,22.865
2,ssd,1610612736,65.769,32.068,22.179
2,ssd,2147483648,63.812,32.339,23.003
2,ssd,2147483648,63.682,32.846,22.878
2,lustre_1_ost,536870912,101.118,44.949,36.116
2,lustre_1_ost,536870912,119.34,43.493,36.279
2,lustre_1_ost,1073741824,111.152,49.541,34.822
2,lustre_1_ost,1073741824,112.246,48.761,36.866
2,lustre_1_ost,1610612736,108.744,47.124,32.41
2,lustre_1_ost,1610612736,112.409,42.422,32.128
2,lustre_1_ost,2147483648,111.575,46.534,38.564
2,lustre_1_ost,2147483648,105.127,43.413,40.643
2,lustre_16_ost,536870912,110.689,50.118,43.9
2,lustre_16_ost,536870912,128.17,53.338,44.813
2,lustre_16_ost,1073741824,120.914,52.417,44.826
2,lustre_16_ost,1073741824,120.902,55.577,45.077
2,lustre_16_ost,1610612736,119.463,50.165,41.221
2,lustre_16_ost,1610612736,125.695,52.034,44.351
2,lustre_16_ost,2147483648,120.894,54.721,47.512
2,lustre_16_ost,2147483648,120.765,53.203,43.034
4,devnull,536870912,6.388,5.931,1.248
4,devnull,536870912,6.39,5.931,1.249
4,devnull,536870912,6.505,5.939,1.254
4,devnull,536870912,6.511,5.945,1.254
4,devnull,1073741824,6.385,6.025,1.353
4,devnull,1073741824,6.397,6.028,1.348
4,devnull,1073741824,6.387,6.042,1.351
4,devnull,1073741824,6.386,6.034,1.352
4,devnull,1610612736,6.394,6.171,1.244
4,devnull,1610612736,6.397,6.176,1.162
4,devnull,1610612736,7.966,7.242,1.143
4,devnull,1610612736,7.935,7.719,1.156
4,devnull,2147483648,6.396,6.211,1.535
4,devnull,2147483648,6.785,6.223,1.578
4,devnull,2147483648,6.388,6.296,1.53
4,devnull,2147483648,6.394,6.311,1.554
4,ssd,536870912,31.171,16.644,11.611
4,ssd,536870912,31.13,16.621,13.532
4,ssd,536870912,34.784,16.577,12.022
4,ssd,536870912,34.551,16.95,14.064
4,ssd,1073741824,32.65,16.71,12.435
4,ssd,1073741824,34.297,16.703,11.93
4,ssd,1073741824,32.938,19.689,12.656
4,ssd,1073741824,33.569,20.195,13.099
4,ssd,1610612736,36.478,15.722,9.726
4,ssd,1610612736,36.581,15.325,9.79
4,ssd,1610612736,37.282,15.462,10.402
4,ssd,1610612736,36.212,15.042,10.742
4,ssd,2147483648,32.882,17.442,12.313
4,ssd,2147483648,32.817,17.46,14.366
4,ssd,2147483648,37.629,18.998,12.609
4,ssd,2147483648,36.77,19.235,12.524
4,lustre_1_ost,536870912,56.518,23.253,19.036
4,lustre_1_ost,536870912,55.655,24.479,19.836
4,lustre_1_ost,536870912,63.859,23.756,18.851
4,lustre_1_ost,536870912,61.774,25.476,19.929
4,lustre_1_ost,1073741824,55.673,23.918,18.771
4,lustre_1_ost,1073741824,55.05,22.853,20.243
4,lustre_1_ost,1073741824,58.704,23.162,18.316
4,lustre_1_ost,1073741824,56.036,24.193,19.482
4,lustre_1_ost,1610612736,55.015,19.778,13.617
4,lustre_1_ost,1610612736,56.264,21.206,15.99
4,lustre_1_ost,1610612736,55.078,20.267,14.947
4,lustre_1_ost,1610612736,57.709,22.008,15.12
4,lustre_1_ost,2147483648,52.739,23.196,20.117
