experiment	run	tool	lock	version	sensitivity	paired	threads	seconds
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	1	3.582
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	4	3.799
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	8	3.711
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	12	3.841
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	16	3.854
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	17	3.935
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	34	3.922
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	51	4.127
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	68	4.31
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	85	4.884
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	100	5.419
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	102	5.376
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	119	6.146
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	136	7.135
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	150	7.952
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	153	8.199
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	170	9.177
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	200	11.058
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	204	11.159
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	221	12.392
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	238	13.447
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	255	14.626
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	pe	272	15.953
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	unp	1	3.632
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	unp	2	3.781
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	unp	4	3.851
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	unp	8	3.805
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	unp	12	3.896
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	unp	16	3.988
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	unp	17	3.948
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	unp	34	4.219
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	unp	51	4.469
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	unp	68	5.083
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	unp	85	7.119
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	unp	100	9.102
pub_final	bt-batch-tbb-heavy-id	bowtie	TBB mutex	Batch parsing input=32	sensitive	unp	102	9.39
