input,output,mp,mt,min,max,sum,mean,stddev
ssd,devnull,1,256,22.144,26.062,6215.41,24.2789,1.12638
ssd,devnull,1,256,22.01,25.839,6166.94,24.0896,1.1243
ssd,devnull,1,256,22.16,25.997,6205.68,24.2409,1.1194
ssd,ssd,1,256,40.002,43.824,10772.7,42.0807,1.10722
ssd,ssd,1,256,38.619,42.4,10413,40.6757,1.09772
ssd,ssd,1,256,39.249,43.018,10562.1,41.2583,1.10437
ssd,lustre1ost,1,256,49.286,53.079,13149.2,51.364,1.10373
ssd,lustre1ost,1,256,49.722,53.714,13281.9,51.8823,1.1677
ssd,lustre1ost,1,256,49.389,53.251,13180.2,51.4852,1.11732
ssd,lustre16ost,1,256,53.11,57.039,14144.8,55.2532,1.13013
ssd,lustre16ost,1,256,53.133,56.817,14105.9,55.1011,1.09665
ssd,lustre16ost,1,256,53.057,56.888,14106.4,55.1031,1.11917
lustre1ost,devnull,1,256,22.41,26.255,6266.81,24.4797,1.11825
lustre1ost,devnull,1,256,22.097,25.929,6184.2,24.157,1.10912
lustre1ost,devnull,1,256,22.341,26.143,6250.78,24.4171,1.11528
lustre1ost,ssd,1,256,38.604,42.366,10395.6,40.6078,1.10026
lustre1ost,ssd,1,256,38.536,42.275,10366.3,40.4933,1.10319
lustre1ost,ssd,1,256,39.433,43.273,10620.6,41.4866,1.12728
lustre1ost,lustre1ost,1,256,49.307,53.131,13153.4,51.3805,1.11121
lustre1ost,lustre1ost,1,256,49.203,52.944,13111.5,51.2169,1.09712
lustre1ost,lustre1ost,1,256,49.841,53.774,13302,51.961,1.14334
lustre1ost,lustre16ost,1,256,53.356,57.241,14197.2,55.4579,1.11556
lustre1ost,lustre16ost,1,256,53.133,57.041,14146.6,55.2601,1.13203
lustre1ost,lustre16ost,1,256,52.717,56.521,14016.2,54.7506,1.10097
lustre16ost,devnull,1,256,22.253,26.076,6226.65,24.3229,1.1079
lustre16ost,devnull,1,256,22.443,26.328,6281.72,24.538,1.12342
lustre16ost,devnull,1,256,22.481,26.35,6288.19,24.5633,1.12161
lustre16ost,ssd,1,256,38.475,42.283,10375.5,40.5293,1.10671
lustre16ost,ssd,1,256,38.915,42.727,10481.5,40.9434,1.1145
lustre16ost,ssd,1,256,39.055,42.841,10522.4,41.1033,1.10416
lustre16ost,lustre1ost,1,256,49.664,53.524,13243.2,51.7312,1.12448
lustre16ost,lustre1ost,1,256,49.528,53.344,13206,51.5858,1.09944
lustre16ost,lustre1ost,1,256,49.7,53.516,13244.9,51.738,1.11953
lustre16ost,lustre16ost,1,256,53.163,57.06,14146.4,55.2594,1.1219
lustre16ost,lustre16ost,1,256,52.878,56.742,14071.9,54.9685,1.10835
lustre16ost,lustre16ost,1,256,52.791,56.583,14036.7,54.8307,1.11781
ssd,devnull,16,16,10.948,11.257,355.36,11.105,0.0900491
ssd,devnull,16,16,10.826,11.067,350.429,10.9509,0.0635084
ssd,devnull,16,16,11.19,11.496,362.905,11.3408,0.0893918
ssd,ssd,16,16,11.323,11.906,371.652,11.6141,0.215312
ssd,ssd,16,16,11.236,11.715,367.17,11.4741,0.166116
ssd,ssd,16,16,11.353,11.834,370.976,11.593,0.169409
ssd,lustre1ost,16,16,11.427,11.686,369.842,11.5576,0.0720027
ssd,lustre1ost,16,16,11.368,11.644,368.253,11.5079,0.074779
ssd,lustre1ost,16,16,11.25,11.58,365.321,11.4163,0.099687
ssd,lustre16ost,16,16,11.286,11.933,371.472,11.6085,0.245404
ssd,lustre16ost,16,16,11.299,11.772,369.139,11.5356,0.164612
ssd,lustre16ost,16,16,11.201,11.482,362.81,11.3378,0.0811945
lustre1ost,devnull,16,16,11.356,11.578,366.854,11.4642,0.0596097
lustre1ost,devnull,16,16,10.828,11.288,353.846,11.0577,0.163456
lustre1ost,devnull,16,16,11.027,11.351,358.102,11.1907,0.0951347
lustre1ost,ssd,16,16,11.09,11.543,362.157,11.3174,0.158978
lustre1ost,ssd,16,16,11.201,11.42,361.895,11.3092,0.0574483
lustre1ost,ssd,16,16,11.103,11.344,359.132,11.2229,0.0626999
lustre1ost,lustre1ost,16,16,11.303,11.853,370.525,11.5789,0.204072
lustre1ost,lustre1ost,16,16,11.344,11.718,368.886,11.5277,0.117778
lustre1ost,lustre1ost,16,16,11.468,11.64,369.638,11.5512,0.0508613
lustre1ost,lustre16ost,16,16,11.509,11.83,373.378,11.6681,0.0911532
lustre1ost,lustre16ost,16,16,11.46,11.814,372.511,11.641,0.110625
lustre1ost,lustre16ost,16,16,11.435,11.598,368.374,11.5117,0.0503571
lustre16ost,devnull,16,16,11.343,11.602,367.14,11.4731,0.0712989
lustre16ost,devnull,16,16,11.045,11.234,356.549,11.1422,0.0521487
lustre16ost,devnull,16,16,11.192,11.36,360.848,11.2765,0.0513131
lustre16ost,ssd,16,16,11.228,12.05,372.45,11.6391,0.339418
lustre16ost,ssd,16,16,11.465,11.779,371.817,11.6193,0.0890658
lustre16ost,ssd,16,16,11.324,11.629,367.417,11.4818,0.0873117
lustre16ost,lustre1ost,16,16,11.467,11.72,371.119,11.5975,0.0702424
lustre16ost,lustre1ost,16,16,11.327,11.658,367.862,11.4957,0.098179
lustre16ost,lustre1ost,16,16,11.08,11.612,362.912,11.341,0.193023
lustre16ost,lustre16ost,16,16,11.294,11.608,366.589,11.4559,0.0921035
lustre16ost,lustre16ost,16,16,11.335,11.606,367.151,11.4735,0.0748073
lustre16ost,lustre16ost,16,16,11.208,11.465,362.735,11.3355,0.0723241
